"cas_number","dtxsid","preferred_name","mw_g_mol"
"116421-29-5","DTXSID6027131","1H-1,2,4-Triazole",69.067
"196611-19-5","DTXSID301017839","1-(2-Amino-3-methylphenyl)ethan-1-ol",151.209
"61520-53-4","DTXSID00866860","2-[(2-Ethyl-6-methylphenyl)amino]-1-propanol",193.29
"30391-89-0","DTXSID7041627","2-Amino-N-(1-methylethyl)benzamide",178.235
"934-32-7","DTXSID1024465","2-Aminobenzimidazole",133.154
"6967-29-9","DTXSID50219963","2-Chloro-N-(2,6-diethylphenyl)acetamide",225.72
"2163-68-0","DTXSID6037807","2-Hydroxyatrazine",197.242
"2814-20-2","DTXSID1027502","2-Isopropyl-6-methyl-4-pyrimidone",152.197
"16655-82-6","DTXSID2037506","3-Hydroxycarbofuran",237.255
"3739-38-6","DTXSID1038321","3-Phenoxybenzoic acid",214.22
"2327-02-8","DTXSID2041468","N-(3,4-Dichlorophenyl)urea",205.04
"56750-76-6","DTXSID7074741","3,5-Dinitro-4-((1-ethylpropyl)amino)-2-methylbenzenemethanol",297.311
"934-73-6","DTXSID8023975","4-Chlorophenyl methyl sulfoxide",174.64
"66747-12-4","DTXSID50985318","S-Ethyl hexahydro-4-hydroxy-1H-azepine-1-carbothioate",203.3
"28343-61-5","DTXSID90182586","4-Hydroxy-2,5,6-trichloroisophthalonitrile",247.46
"72576-13-7","DTXSID4037619","6-(Dimethylamino)-3-(4-hydroxycyclohexyl)-1-methyl-1,3,5-triazine-2,4(1H,3H)-dione",268.317
"30560-19-1","DTXSID8023846","Acephate",183.16
"34256-82-1","DTXSID8023848","Acetochlor",269.77
"32428-71-0","DTXSID60186172","2-Chloro-N-(2-ethyl-6-methylphenyl)acetamide",211.69
"187022-11-3","DTXSID6037483","Acetochlor ESA",315.38
"194992-44-4","DTXSID1037484","Acetochlor OA",265.309
"618113-86-3","DTXSID001017866","Acetochlor sulfynilacetic acid",341.42
"15972-60-8","DTXSID1022265","Alachlor",269.77
"142363-53-9","DTXSID6037485","Alachlor ESA",315.38
"171262-17-2","DTXSID1037486","2-[(2,6-Diethylphenyl)(methoxymethyl)amino]-2-oxoacetic Acid",265.309
"494847-39-1","DTXSID701017867","Alachlor sulfynilacetic acid",341.42
"116-06-3","DTXSID0039223","Aldicarb",190.26
"1646-87-3","DTXSID1033161","Aldicarb sulfoxide",206.26
"834-12-8","DTXSID1023869","Ametryn",227.33
"3337-71-1","DTXSID8023890","Asulam",230.24
"1912-24-9","DTXSID9020112","Atrazine",215.69
"86-50-0","DTXSID3020122","Azinphos-methyl",317.32
"961-22-8","DTXSID4058499","Azinphos-methyl oxon",301.26
"131860-33-8","DTXSID0032520","Azoxystrobin",403.394
"25057-89-0","DTXSID0023901","Bentazone",240.28
"82657-04-3","DTXSID9020160","Bifenthrin",422.87
"314-40-9","DTXSID4022020","Bromacil",261.119
"1689-84-5","DTXSID3022162","Bromoxynil",276.915
"33629-47-9","DTXSID3032337","Butralin",295.339
"2008-41-5","DTXSID7023936","Butylate",217.37
"63-25-2","DTXSID9020247","Carbaryl",201.225
"10605-21-7","DTXSID4024729","Carbendazim",191.19
"1563-66-2","DTXSID9020249","Carbofuran",221.256
"66747-13-5","DTXSID401017868","Carboxy molinate",217.28
"90982-32-4","DTXSID0023955","Chlorimuron-ethyl",414.82
"90982-32-4","DTXSID0023955","Chlorimuron-ethyl",414.82
"130-45-0",NA,NA,NA
"2921-88-2","DTXSID4020458","Chlorpyrifos",350.57
"5598-15-2","DTXSID1038666","Chlorpyrifos oxon",334.51
"64902-72-3","DTXSID7023980","Chlorsulfuron",357.77
"68127-59-3","DTXSID70887168","cis-Cyhalothric acid",242.62
"61949-76-6","DTXSID0038338","(+/-)-cis-Permethrin",391.29
"21725-46-2","DTXSID1023990","Cyanazine",240.7
"887-54-7","DTXSID9041782","Chlorthal-monomethyl",317.93
"",NA,NA,NA
"126605-22-9","DTXSID901017794","Dechlorometolachlor",249.354
"6190-65-4","DTXSID5037494","Desethylatrazine",187.63
"19988-24-0","DTXSID80173802","4-Amino-6-[(1-methylethyl)amino]-1,3,5-triazin-2(1H)-one",169.188
"4147-57-3","DTXSID30194365","Deethylametryne",199.28
"1007-28-9","DTXSID0037495","Deisopropylatrazine",173.6
"7313-54-4","DTXSID6074756","4-Amino-6-(ethylamino)-1,3,5-triazin-2(1H)-one",155.161
"3032-40-4","DTXSID80184413","N-Methyl-N′-[3-(trifluoromethyl)phenyl]urea",218.179
"56611-54-2","DTXSID3037620","3-Cyclohexyl-1-methyl-6-(methylamino)-1,3,5-triazine-2,4(1H,3H)-dione",238.291
"23576-24-1","DTXSID1041841","Desmethylnorflurazon",289.64
"52236-30-3","DTXSID9052840","6-(1,1-Dimethylethyl)-1,2,4-triazine-3,5(2H,4H)-dione",169.184
"333-41-5","DTXSID9020407","Diazinon",304.34
"962-58-3","DTXSID5037523","Diazoxon",288.284
"1918-00-9","DTXSID4024018","Dicamba",221.03
"62-73-7","DTXSID5020449","Dichlorvos",220.97
"141-66-2","DTXSID9023914","Dicrotophos",237.192
"3397-62-4","DTXSID1037806","6-Chloro-1,3,5-triazine-2,4-diamine",145.55
"35367-38-5","DTXSID1024049","Diflubenzuron",310.68
"109293-97-2","DTXSID8034538","Diflufenzopyr",334.283
"143701-75-1","DTXSID50894951","alpha-(Cyclopropylcarbonyl)-2-(methylsulfonyl)-beta-oxo-4-(trifluoromethyl)benzenepropanenitrile",359.32
"87674-68-8","DTXSID4032376","Dimethenamid",275.79
"205939-58-8","DTXSID50891445","Dimethenamide ESA",321.41
"60-51-5","DTXSID7020479","Dimethoate",229.25
"1113-02-6","DTXSID4037580","Omethoate",213.19
"298-04-4","DTXSID0022018","Disulfoton",274.39
"126-75-0","DTXSID9037535","Demeton-S",258.33
"2496-92-6","DTXSID7042229","O,O-diethyl S-[2-(ethylsulfinyl)-ethyl]phosphorothioate",274.33
"2496-91-5","DTXSID6042230","O,O-diethyl S-[2-(ethylsulfonyl)-ethyl]phosphorothioate",290.33
"2497-06-5","DTXSID8041901","Disulfoton sulfone",306.39
"2497-07-6","DTXSID4037536","Oxydisulfoton",290.39
"330-54-1","DTXSID0020446","Diuron",233.09
"759-94-4","DTXSID1024091","S-Ethyl dipropylthiocarbamate",189.32
